Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
135.0,Caris LeVert,28.0,CLE,SG,74.0,30.0,30.2,4.3,10.0,0.431,1.7,4.4,0.392,2.6,5.6,0.462,0.517,1.8,2.4,0.722,0.7,3.1,3.8,3.9,1.0,0.3,1.6,2.3,12.1,
241.0,Kemba Walker,32.0,DAL,PG,9.0,1.0,16.0,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,0.482,1.9,2.3,0.81,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0,
74.0,Spencer Dinwiddie,29.0,DAL,SG,53.0,53.0,34.1,6.0,13.1,0.455,2.6,6.4,0.405,3.4,6.7,0.504,0.555,3.2,3.9,0.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7,
231.0,Dorian Finney-Smith,29.0,DAL,PF,40.0,40.0,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1.0,0.75,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1,
388.0,Justin Holiday,33.0,DAL,SF,18.0,2.0,16.4,1.6,4.4,0.367,0.9,3.1,0.286,0.7,1.3,0.565,0.468,0.3,0.4,0.625,0.2,1.6,1.8,0.9,0.8,0.5,0.6,1.7,4.4,
209.0,Josh Green,22.0,DAL,SG,60.0,21.0,25.7,3.4,6.4,0.537,1.1,2.8,0.402,2.3,3.6,0.643,0.626,1.1,1.6,0.723,0.9,2.1,3.0,1.7,0.7,0.1,1.2,2.6,9.1,
81.0,Christian Wood,27.0,DAL,C,67.0,17.0,25.9,5.9,11.5,0.515,1.6,4.2,0.376,4.3,7.3,0.594,0.583,3.2,4.2,0.772,1.3,6.0,7.3,1.8,0.4,1.1,1.8,2.5,16.6,
103.0,Tim Hardaway Jr.,30.0,DAL,SF,71.0,45.0,30.3,4.8,11.9,0.401,3.0,7.7,0.385,1.8,4.2,0.431,0.527,1.8,2.3,0.77,0.3,3.2,3.5,1.8,0.7,0.2,0.8,1.7,14.4,
325.0,Maxi Kleber,31.0,DAL,PF,37.0,5.0,25.1,2.1,4.6,0.456,1.1,3.0,0.348,1.0,1.5,0.667,0.571,0.7,1.0,0.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,
12.0,Kyrie Irving,30.0,DAL,SG,20.0,20.0,38.2,9.8,19.2,0.51,2.9,7.4,0.392,6.9,11.8,0.585,0.586,4.5,4.7,0.947,1.1,4.0,5.0,6.0,1.3,0.6,1.9,2.8,27.0,
292.0,Dwight Powell,31.0,DAL,C,76.0,64.0,19.2,2.6,3.5,0.732,0.0,0.1,0.0,2.6,3.5,0.746,0.732,1.5,2.2,0.667,2.0,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7,
